### Test items ###;;;;;;;;;
id;expected_look;left_side_image;right_side_image;audio_stimulus;left_side_image_animation_start;right_side_image_animation_start;left_side_image_animation_finish;right_side_image_animation_finish;duration
1;RIGHT_SIDE;"";"image2.svg";"training_modi.wav";"";"training.csv";"";"";21s
2;LEFT_SIDE;"image1.svg";"";"training_dofa.wav";"training.csv";"";"";"";21s
3;RIGHT_SIDE;"";"image2.svg";"training_modi.wav";"";"training.csv";"";"";21s
4;LEFT_SIDE;"image1.svg";"";"training_dofa.wav";"training.csv";"";"";"";21s
