##ANIMATION##;;;;;;;;;;
x;x_type;y;y_type;width;width_type;height;height_type;rotation;alpha;image
0;"px";0;"px";4.5833333333;"%";4.5833333333;"%";0;0;""
0;"px";0;"px";5;"%";5;"%";0;0;""
0;"px";0;"px";5.4166666667;"%";5.4166666667;"%";0;0;""
0;"px";0;"px";5.8333333333;"%";5.8333333333;"%";0;0;""
0;"px";0;"px";6.25;"%";6.25;"%";0;0;""
0;"px";0;"px";6.6666666667;"%";6.6666666667;"%";0;0;""
0;"px";0;"px";7.0833333333;"%";7.0833333333;"%";0;0;""
0;"px";0;"px";7.5;"%";7.5;"%";0;0;""
0;"px";0;"px";7.9166666667;"%";7.9166666667;"%";0;0;""
0;"px";0;"px";8.3333333333;"%";8.3333333333;"%";0;0;""
0;"px";0;"px";8.75;"%";8.75;"%";0;0;""
0;"px";0;"px";9.1666666667;"%";9.1666666667;"%";0;0;""
0;"px";0;"px";9.5833333333;"%";9.5833333333;"%";0;0;""
0;"px";0;"px";10;"%";10;"%";0;0;""
0;"px";0;"px";10.4166666667;"%";10.4166666667;"%";0;0;""
0;"px";0;"px";10.8333333333;"%";10.8333333333;"%";0;0;""
0;"px";0;"px";11.25;"%";11.25;"%";0;0;""
0;"px";0;"px";11.6666666667;"%";11.6666666667;"%";0;0;""
0;"px";0;"px";12.0833333333;"%";12.0833333333;"%";0;0;""
0;"px";0;"px";12.5;"%";12.5;"%";0;0;""
0;"px";0;"px";12.9166666667;"%";12.9166666667;"%";0;0;""
0;"px";0;"px";13.3333333333;"%";13.3333333333;"%";0;0;""
0;"px";0;"px";13.75;"%";13.75;"%";0;0;""
0;"px";0;"px";14.1666666667;"%";14.1666666667;"%";0;0;""
0;"px";0;"px";14.5833333333;"%";14.5833333333;"%";0;0;""
0;"px";0;"px";15;"%";15;"%";0;0;""
0;"px";0;"px";15.4166666667;"%";15.4166666667;"%";0;0;""
0;"px";0;"px";15.8333333333;"%";15.8333333333;"%";0;0;""
0;"px";0;"px";16.25;"%";16.25;"%";0;0;""
0;"px";0;"px";16.6666666667;"%";16.6666666667;"%";0;0;""
0;"px";0;"px";17.0833333333;"%";17.0833333333;"%";0;0;""
0;"px";0;"px";17.5;"%";17.5;"%";0;0;""
0;"px";0;"px";17.9166666667;"%";17.9166666667;"%";0;0;""
0;"px";0;"px";18.3333333333;"%";18.3333333333;"%";0;0;""
0;"px";0;"px";18.75;"%";18.75;"%";0;0;""
0;"px";0;"px";19.1666666667;"%";19.1666666667;"%";0;0;""
0;"px";0;"px";19.5833333333;"%";19.5833333333;"%";0;0;""
0;"px";0;"px";20;"%";20;"%";0;0;""
0;"px";0;"px";20.4166666667;"%";20.4166666667;"%";0;0;""
0;"px";0;"px";20.8333333333;"%";20.8333333333;"%";0;0;""
0;"px";0;"px";21.25;"%";21.25;"%";0;0;""
0;"px";0;"px";21.6666666667;"%";21.6666666667;"%";0;0;""
0;"px";0;"px";22.0833333333;"%";22.0833333333;"%";0;0;""
0;"px";0;"px";22.5;"%";22.5;"%";0;0;""
0;"px";0;"px";22.9166666667;"%";22.9166666667;"%";0;0;""
0;"px";0;"px";23.3333333333;"%";23.3333333333;"%";0;0;""
0;"px";0;"px";23.75;"%";23.75;"%";0;0;""
0;"px";0;"px";24.1666666667;"%";24.1666666667;"%";0;0;""
0;"px";0;"px";24.5833333333;"%";24.5833333333;"%";0;0;""
0;"px";0;"px";25;"%";25;"%";0;0;""
0;"px";0;"px";25.4166666667;"%";25.4166666667;"%";0;0;""
0;"px";0;"px";25.8333333333;"%";25.8333333333;"%";0;0;""
0;"px";0;"px";26.25;"%";26.25;"%";0;0;""
0;"px";0;"px";26.6666666667;"%";26.6666666667;"%";0;0;""
0;"px";0;"px";27.0833333333;"%";27.0833333333;"%";0;0;""
0;"px";0;"px";27.5;"%";27.5;"%";0;0;""
0;"px";0;"px";27.9166666667;"%";27.9166666667;"%";0;0;""
0;"px";0;"px";28.3333333333;"%";28.3333333333;"%";0;0;""
0;"px";0;"px";28.75;"%";28.75;"%";0;0;""
0;"px";0;"px";29.1666666667;"%";29.1666666667;"%";0;0;""
0;"px";0;"px";29.5833333333;"%";29.5833333333;"%";0;0;""
0;"px";0;"px";30;"%";30;"%";0;0;""
0;"px";0;"px";30.4166666667;"%";30.4166666667;"%";0;0;""
0;"px";0;"px";30.8333333333;"%";30.8333333333;"%";0;0;""
0;"px";0;"px";31.25;"%";31.25;"%";0;0;""
0;"px";0;"px";31.6666666667;"%";31.6666666667;"%";0;0;""
0;"px";0;"px";32.0833333333;"%";32.0833333333;"%";0;0;""
0;"px";0;"px";32.5;"%";32.5;"%";0;0;""
0;"px";0;"px";32.9166666667;"%";32.9166666667;"%";0;0;""
0;"px";0;"px";33.3333333333;"%";33.3333333333;"%";0;0;""
0;"px";0;"px";33.75;"%";33.75;"%";0;0;""
0;"px";0;"px";34.1666666667;"%";34.1666666667;"%";0;0;""
0;"px";0;"px";34.5833333333;"%";34.5833333333;"%";0;0;""
0;"px";0;"px";35;"%";35;"%";0;0;""
0;"px";0;"px";35.4166666667;"%";35.4166666667;"%";0;0;""
0;"px";0;"px";35.8333333333;"%";35.8333333333;"%";0;0;""
0;"px";0;"px";36.25;"%";36.25;"%";0;0;""
0;"px";0;"px";36.6666666667;"%";36.6666666667;"%";0;0;""
0;"px";0;"px";37.0833333333;"%";37.0833333333;"%";0;0;""
0;"px";0;"px";37.5;"%";37.5;"%";0;0;""
0;"px";0;"px";37.9166666667;"%";37.9166666667;"%";0;0;""
0;"px";0;"px";38.3333333333;"%";38.3333333333;"%";0;0;""
0;"px";0;"px";38.75;"%";38.75;"%";0;0;""
0;"px";0;"px";39.1666666667;"%";39.1666666667;"%";0;0;""
0;"px";0;"px";39.5833333333;"%";39.5833333333;"%";0;0;""
0;"px";0;"px";40;"%";40;"%";0;0;""
0;"px";0;"px";40.4166666667;"%";40.4166666667;"%";0;0;""
0;"px";0;"px";40.8333333333;"%";40.8333333333;"%";0;0;""
0;"px";0;"px";41.25;"%";41.25;"%";0;0;""
0;"px";0;"px";41.6666666667;"%";41.6666666667;"%";0;0;""
0;"px";0;"px";42.0833333333;"%";42.0833333333;"%";0;0;""
0;"px";0;"px";42.5;"%";42.5;"%";0;0;""
0;"px";0;"px";42.9166666667;"%";42.9166666667;"%";0;0;""
0;"px";0;"px";43.3333333333;"%";43.3333333333;"%";0;0;""
0;"px";0;"px";43.75;"%";43.75;"%";0;0;""
0;"px";0;"px";44.1666666667;"%";44.1666666667;"%";0;0;""
0;"px";0;"px";44.5833333333;"%";44.5833333333;"%";0;0;""
0;"px";0;"px";45;"%";45;"%";0;0;""
0;"px";0;"px";45.4166666667;"%";45.4166666667;"%";0;0;""
0;"px";0;"px";45.8333333333;"%";45.8333333333;"%";0;0;""
0;"px";0;"px";46.25;"%";46.25;"%";0;0;""
0;"px";0;"px";46.6666666667;"%";46.6666666667;"%";0;0;""
0;"px";0;"px";47.0833333333;"%";47.0833333333;"%";0;0;""
0;"px";0;"px";47.5;"%";47.5;"%";0;0;""
0;"px";0;"px";47.9166666667;"%";47.9166666667;"%";0;0;""
0;"px";0;"px";48.3333333333;"%";48.3333333333;"%";0;0;""
0;"px";0;"px";48.75;"%";48.75;"%";0;0;""
0;"px";0;"px";49.1666666667;"%";49.1666666667;"%";0;0;""
0;"px";0;"px";49.5833333333;"%";49.5833333333;"%";0;0;""
0;"px";0;"px";50;"%";50;"%";0;0;""
0;"px";0;"px";49.5833333333;"%";49.5833333333;"%";0;0;""
0;"px";0;"px";49.1666666667;"%";49.1666666667;"%";0;0;""
0;"px";0;"px";48.75;"%";48.75;"%";0;0;""
0;"px";0;"px";48.3333333333;"%";48.3333333333;"%";0;0;""
0;"px";0;"px";47.9166666667;"%";47.9166666667;"%";0;0;""
0;"px";0;"px";47.5;"%";47.5;"%";0;0;""
0;"px";0;"px";47.0833333333;"%";47.0833333333;"%";0;0;""
0;"px";0;"px";46.6666666667;"%";46.6666666667;"%";0;0;""
0;"px";0;"px";46.25;"%";46.25;"%";0;0;""
0;"px";0;"px";45.8333333333;"%";45.8333333333;"%";0;0;""
0;"px";0;"px";45.4166666667;"%";45.4166666667;"%";0;0;""
0;"px";0;"px";45;"%";45;"%";0;0;""
0;"px";0;"px";44.5833333333;"%";44.5833333333;"%";0;0;""
0;"px";0;"px";44.1666666667;"%";44.1666666667;"%";0;0;""
0;"px";0;"px";43.75;"%";43.75;"%";0;0;""
0;"px";0;"px";43.3333333333;"%";43.3333333333;"%";0;0;""
0;"px";0;"px";42.9166666667;"%";42.9166666667;"%";0;0;""
0;"px";0;"px";42.5;"%";42.5;"%";0;0;""
0;"px";0;"px";42.0833333333;"%";42.0833333333;"%";0;0;""
0;"px";0;"px";41.6666666667;"%";41.6666666667;"%";0;0;""
0;"px";0;"px";41.25;"%";41.25;"%";0;0;""
0;"px";0;"px";40.8333333333;"%";40.8333333333;"%";0;0;""
0;"px";0;"px";40.4166666667;"%";40.4166666667;"%";0;0;""
0;"px";0;"px";40;"%";40;"%";0;0;""
0;"px";0;"px";39.5833333333;"%";39.5833333333;"%";0;0;""
0;"px";0;"px";39.1666666667;"%";39.1666666667;"%";0;0;""
0;"px";0;"px";38.75;"%";38.75;"%";0;0;""
0;"px";0;"px";38.3333333333;"%";38.3333333333;"%";0;0;""
0;"px";0;"px";37.9166666667;"%";37.9166666667;"%";0;0;""
0;"px";0;"px";37.5;"%";37.5;"%";0;0;""
0;"px";0;"px";37.0833333333;"%";37.0833333333;"%";0;0;""
0;"px";0;"px";36.6666666667;"%";36.6666666667;"%";0;0;""
0;"px";0;"px";36.25;"%";36.25;"%";0;0;""
0;"px";0;"px";35.8333333333;"%";35.8333333333;"%";0;0;""
0;"px";0;"px";35.4166666667;"%";35.4166666667;"%";0;0;""
0;"px";0;"px";35;"%";35;"%";0;0;""
0;"px";0;"px";34.5833333333;"%";34.5833333333;"%";0;0;""
0;"px";0;"px";34.1666666667;"%";34.1666666667;"%";0;0;""
0;"px";0;"px";33.75;"%";33.75;"%";0;0;""
0;"px";0;"px";33.3333333333;"%";33.3333333333;"%";0;0;""
0;"px";0;"px";32.9166666667;"%";32.9166666667;"%";0;0;""
0;"px";0;"px";32.5;"%";32.5;"%";0;0;""
0;"px";0;"px";32.0833333333;"%";32.0833333333;"%";0;0;""
0;"px";0;"px";31.6666666667;"%";31.6666666667;"%";0;0;""
0;"px";0;"px";31.25;"%";31.25;"%";0;0;""
0;"px";0;"px";30.8333333333;"%";30.8333333333;"%";0;0;""
0;"px";0;"px";30.4166666667;"%";30.4166666667;"%";0;0;""
0;"px";0;"px";30;"%";30;"%";0;0;""
0;"px";0;"px";29.5833333333;"%";29.5833333333;"%";0;0;""
0;"px";0;"px";29.1666666667;"%";29.1666666667;"%";0;0;""
0;"px";0;"px";28.75;"%";28.75;"%";0;0;""
0;"px";0;"px";28.3333333333;"%";28.3333333333;"%";0;0;""
0;"px";0;"px";27.9166666667;"%";27.9166666667;"%";0;0;""
0;"px";0;"px";27.5;"%";27.5;"%";0;0;""
0;"px";0;"px";27.0833333333;"%";27.0833333333;"%";0;0;""
0;"px";0;"px";26.6666666667;"%";26.6666666667;"%";0;0;""
0;"px";0;"px";26.25;"%";26.25;"%";0;0;""
0;"px";0;"px";25.8333333333;"%";25.8333333333;"%";0;0;""
0;"px";0;"px";25.4166666667;"%";25.4166666667;"%";0;0;""
0;"px";0;"px";25;"%";25;"%";0;0;""
0;"px";0;"px";24.5833333333;"%";24.5833333333;"%";0;0;""
0;"px";0;"px";24.1666666667;"%";24.1666666667;"%";0;0;""
0;"px";0;"px";23.75;"%";23.75;"%";0;0;""
0;"px";0;"px";23.3333333333;"%";23.3333333333;"%";0;0;""
0;"px";0;"px";22.9166666667;"%";22.9166666667;"%";0;0;""
0;"px";0;"px";22.5;"%";22.5;"%";0;0;""
0;"px";0;"px";22.0833333333;"%";22.0833333333;"%";0;0;""
0;"px";0;"px";21.6666666667;"%";21.6666666667;"%";0;0;""
0;"px";0;"px";21.25;"%";21.25;"%";0;0;""
0;"px";0;"px";20.8333333333;"%";20.8333333333;"%";0;0;""
0;"px";0;"px";20.4166666667;"%";20.4166666667;"%";0;0;""
0;"px";0;"px";20;"%";20;"%";0;0;""
0;"px";0;"px";19.5833333333;"%";19.5833333333;"%";0;0;""
0;"px";0;"px";19.1666666667;"%";19.1666666667;"%";0;0;""
0;"px";0;"px";18.75;"%";18.75;"%";0;0;""
