### Test items ###;;;;;;;;;
id;expected_look;left_side_image;right_side_image;audio_stimulus;left_side_image_animation_start;right_side_image_animation_start;left_side_image_animation_finish;right_side_image_animation_finish;duration
1;LEFT_SIDE;"image2.svg";"";"training_doboe.wav";"training.csv";"";"";"";21s
2;RIGHT_SIDE;"";"image1.svg";"training_pima.wav";"";"training.csv";"";"";21s
3;LEFT_SIDE;"image2.svg";"";"training_doboe.wav";"training.csv";"";"";"";21s
4;RIGHT_SIDE;"";"image1.svg";"training_pima.wav";"";"training.csv";"";"";21s
