### Test items ###;;;;;;;;;
id;expected_look;left_side_image;right_side_image;audio_stimulus;left_side_image_animation_start;right_side_image_animation_start;left_side_image_animation_finish;right_side_image_animation_finish;duration
1;RIGHT_SIDE;"";"image2.svg";"reminder_1_modi.wav";"";"";"";"";8s
2;LEFT_SIDE;"image1.svg";"";"reminder_1_dofa.wav";"";"";"";"";8s
